origin,dest,distance
-122.32551682824823&47.614088997155925,-122.3255171&47.6141034,0.851952801968311
-122.3252735&47.6189355,-122.3252569&47.6189543,0.9992903296009
-122.3242656&47.6195737,-122.3241331&47.6196251,0.997527376843365
-122.3239973&47.6196723,-122.323817&47.6197272,0.999738809680904
-122.3234436&47.6198151,-122.3233182&47.6198373,0.989013057369407
-122.3268789&47.6129389,-122.326843&47.6130788,0.991422514586288
-122.32682145645877&47.61409208693269,-122.3268213&47.614102,0.991422514586288
-122.3253012&47.6177485,-122.3252789&47.6184985,0.962673112655871
-122.3267787&47.6171377,-122.3268127&47.6171148,0.14804719803169
-122.3195328&47.6187537,-122.3182109&47.6187653,0.998498817743263
-122.32083&47.615259,-122.3208299&47.6162005,0.999964643749258
-122.32679&47.6163559,-122.3267894&47.6164003,0.002472623156635
-122.3268033&47.6152241,-122.326802&47.6153358,0.119202922022118
-122.3221995&47.618746,-122.3222157&47.6199035,0.99992515377249
-122.3221184&47.6129788,-122.3221126&47.6130585,0.952574126822433
-122.32212795370549&47.61405915057779,-122.3221283&47.6140814,0.952574126822433
-122.3221635&47.6163962,-122.3221741&47.6170883,0.268941421369995
-122.322146&47.6152491,-122.3221566&47.6159421,0.880797077977882
-122.3221815&47.6175767,-122.3221841&47.6177409,0.999447221363076
-122.3221283&47.6140814,-122.3221294&47.6141519,0.999664649869534
-122.3182109&47.6187653,-122.316908&47.6187742,0.977022630089974
-122.3200516&47.6175868,-122.3207623&47.6175847,0.998498817743263
-122.3208155&47.6129732,-122.32082833402278&47.614076136172024,0.996827317157515
-122.3208285&47.6140904,-122.3208231&47.6143025,0.999997739675702
-122.32082833402278&47.614076136172024,-122.3208285&47.6140904,0.998498817743263
-122.3208446&47.6180593,-122.3208447&47.6180795,0.119202922022118
-122.3208427&47.6175845,-122.3208433&47.6177365,0.924141819978757
-122.3194812&47.6152633,-122.319093&47.6152654,0.989013057369407
-122.32083&47.615259,-122.3208051&47.615259,0.999964643749258
