origin,dest,distance
-122.3088262&47.6164544,-122.3088238&47.6165936,0.93991335
-122.3088326&47.6161468,-122.3088262&47.6164544,0.991422515
-122.3088625&47.6129061,-122.3088519&47.6141176,0.119202922
-122.3088519&47.6141176,-122.3088412&47.6152791,0.005220126
-122.3088412&47.6152791,-122.30883268142613&47.61613858448305,0.952574127
-122.29132&47.6176144,-122.2912978&47.6177673,0.00000373
-122.2913832&47.6140747,-122.2913598&47.6152617,0.000123
-122.2913445&47.6164381,-122.29132&47.6176144,3.58E-10
-122.2913598&47.6152617,-122.2913445&47.6164381,2.65E-09
-122.2914365&47.6129189,-122.2913832&47.6140747,0.731058579
-122.2949944&47.6236375,-122.2961957&47.6228314,0.320821301
-122.29641406193502&47.6233264841198,-122.2964149&47.6233284,0.989013057
-122.2961957&47.6228314,-122.2963178&47.6231077,0.999903898
-122.2949944&47.6236375,-122.2948287&47.6236747,0.004070138
-122.3029152&47.6189332,-122.3026489&47.6191138,0.999941709
-122.3101455&47.6155921,-122.3088326&47.6161468,0.997527377
-122.3088326&47.6161468,-122.3086215&47.6162358,0.99966465
-122.3074073&47.6176,-122.3074087&47.6185035,0.93991335
-122.3074188&47.616743,-122.3074073&47.6176,0.817574476
-122.2902467&47.6176419,-122.2891839&47.6176413,0.0000354
-122.2891839&47.6176413,-122.2886444&47.6176411,0.010986943
-122.2935351&47.6176136,-122.2923882&47.6176047,0.00116951
-122.2923882&47.6176047,-122.2914349&47.6175997,0.0000748
-122.2948408&47.6176205,-122.2942057&47.6176141,8.76E-08
-122.2961421601832&47.617623999104026,-122.2955131&47.6176208,0.0000214
-122.29132&47.6176144,-122.2912301&47.6176366,0.00000176
-122.2987489&47.6176384,-122.2986306&47.6176372,0.07585818
-122.296162&47.6176241,-122.2961421601832&47.617623999104026,0.095349465
-122.2973457&47.6176303,-122.2968225&47.6176276,0.004070138
-122.2986306&47.6176372,-122.2981142&47.6176324,0.008577485
