origin,dest,distance
-122.3014151&47.6141541,-122.3007259&47.6141505,0.01798621
-122.299808&47.6243862,-122.2997923&47.6251842,0.817574476
-122.2998929&47.6213661,-122.2998097&47.6243253,0.005220126
-122.2999002&47.6209857,-122.2998982&47.6210874,0.148047198
-122.29989998362387&47.62096446628953,-122.2999002&47.6209857,0.222700139
-122.2998714&47.618921,-122.2998921&47.6202031,0.995929862
-122.2998921&47.6202031,-122.2998987&47.6208385,0.731058579
-122.2914762&47.6116489,-122.2914365&47.6129189,0.952574127
-122.2914909&47.6104262,-122.2914762&47.6116489,0.622459331
-122.3088144&47.6190046,-122.3074028&47.6190046,0.119202922
-122.3024591&47.6231724,-122.3024552&47.6234124,0.999999607
-122.3024392&47.6244017,-122.3024302&47.6249613,0.99973881
-122.3024696&47.6226624,-122.302463&47.622984,0.999964644
-122.3025222&47.6202155,-122.3025136&47.6206027,0.999997098
-122.3024963&47.6213772,-122.3024801&47.6221589,0.999972464
-122.307387&47.6196794,-122.3067393&47.6196775,0.731058579
-122.3100703&47.6196811,-122.3094744&47.6196809,0.817574476
-122.3087709&47.6196784,-122.307387&47.6196794,0.777299861
-122.2898227&47.6201587,-122.2890834&47.620154,0.047425873
-122.2890834&47.620154,-122.287963&47.620145,0.047425873
-122.301028&47.6202099,-122.30102732495223&47.62020989604394,0.962673113
-122.2923158&47.6201576,-122.2912375&47.6201511,0.000013
-122.2934844&47.6201648,-122.2933846&47.6201642,0.437823499
-122.29609691132025&47.62018007641437,-122.295444&47.6201764,0.006692851
-122.2947941&47.6201719,-122.2941535&47.6201684,0.880797078
-122.2998921&47.6202031,-122.2985747&47.6202021,0.92414182
-122.2985747&47.6202021,-122.2979584&47.6201919,0.970687769
-122.2961011&47.6201801,-122.29609691132025&47.62018007641437,0.268941421
-122.2972563&47.6201872,-122.2961011&47.6201801,0.777299861
-122.30102732495223&47.62020989604394,-122.3008403&47.6202088,0.989013057
-122.296681&47.6225018,-122.2965631&47.6225052,0.985936373
-122.3024696&47.6226624,-122.301186&47.6226524,0.996827317
-122.2948779&47.6141085,-122.2948654&47.6152854,5.6E-09
-122.2948532&47.6164452,-122.2948408&47.6176205,5.6E-09
-122.2948654&47.6152854,-122.2948532&47.6164452,1.03E-10
-122.2948974&47.613196,-122.2948779&47.6141085,0.00000373
-122.2948408&47.6176205,-122.2948273&47.6188939,9.74E-10
-122.2949363&47.6100271,-122.2949348&47.6116797,0.0000961
-122.2949348&47.6116797,-122.2949268&47.6127005,0.000013
-122.2887795&47.6185692,-122.2888769&47.6186532,0.000123
-122.2887382&47.6193102,-122.2890011&47.6194648,0.002472623
-122.307574&47.6103633,-122.3075624&47.610405,0.01798621
-122.3075423&47.6115333,-122.3075347&47.6129089,0.962673113
-122.30126409535225&47.62004719928596,-122.3012657&47.620049,0.93991335
-122.301194&47.6189284,-122.3011948&47.6190127,0.679178699
-122.296451&47.6236649,-122.2964876&47.6236914,0.952574127
-122.2961948&47.6234769,-122.2962843&47.6235444,0.994779874
-122.2975385&47.6100345,-122.2975122&47.6115657,0.000911
-122.2975079&47.6129419,-122.2975076&47.6133973,0.0000167
-122.2974849&47.6152975,-122.2974626&47.6164579,0.07585818
-122.2974626&47.6164579,-122.2974676&47.6174308,0.222700139
-122.2974938&47.6141336,-122.2974849&47.6152975,0.06008665
-122.2975122&47.6115657,-122.297509&47.6124613,2.65E-09
-122.2973457&47.6176303,-122.2972839&47.6177278,0.851952802
-122.2987398&47.624376,-122.2987227&47.6251706,0.008577485
-122.2983601&47.6220141,-122.2984491&47.6220732,0.037326887
-122.2985747&47.6202021,-122.2985909&47.6213577,0.679178699
-122.298566&47.6189136,-122.2985747&47.6202021,5.32E-08
-122.2894164&47.6242106,-122.2892524&47.6243191,0.047425873
-122.2937912&47.610435,-122.293767&47.6116676,0.000553
-122.2904268&47.6104259,-122.2903934&47.6116309,0.047425873
-122.308893&47.6103676,-122.3088705&47.6104183,0.119202922
-122.3088653&47.6115414,-122.3088639&47.6122156,0.119202922
-122.3086871&47.6244253,-122.3086727&47.6252412,0.02297737
-122.3088144&47.6190046,-122.30881&47.6195861,0.182425524
-122.3087567&47.6204843,-122.3087286&47.622076,0.008577485
-122.3087286&47.622076,-122.308685&47.6232488,0.0000275
-122.3087709&47.6196784,-122.3087688&47.6197574,0.731058579
-122.3088113&47.6185112,-122.3088144&47.6190046,0.98201379
-122.308685&47.6232488,-122.3086871&47.6244253,0.000123
-122.2923458&47.6188787,-122.2923455178233&47.61889072963849,0.0000275
-122.2923158&47.6201576,-122.2923121&47.6213264,0.437823499
-122.2923455178233&47.61889072963849,-122.2923439&47.6189597,1.96E-08
-122.3060749&47.6202164,-122.3047653&47.6202166,0.999903898
-122.3088519&47.6141176,-122.3081762&47.6141156,0.047425873
-122.3101587&47.614112,-122.3094959&47.6141196,0.119202922
-122.2962019&47.6129477,-122.2959538&47.6129477,0.014063627
-122.303623&47.6202194,-122.3031329&47.6202177,0.999972464
-122.3047653&47.6202166,-122.304029&47.6202188,0.999998629
-122.3087286&47.622076,-122.3080487&47.6220699,0.006692851
-122.3100357&47.6220834,-122.3093727&47.6220779,0.014063627
-122.2949944&47.6236375,-122.2951916&47.6237796,0.004070138
-122.2961848&47.6141268,-122.2961844471421&47.614216410568275,0.01798621
-122.2962019&47.6129477,-122.2962006&47.613037,0.001926735
-122.2961844471421&47.614216410568275,-122.2961802&47.615295,0.000000144
-122.2999503&47.6176511,-122.2998813&47.6177522,0.880797078
-122.3001443&47.6100332,-122.3001209&47.6115811,0.037326887
-122.3000941&47.6129422,-122.3000934&47.6141472,0.985936373
-122.3000938&47.6153065,-122.3000757&47.616461,0.679178699
-122.3000757&47.616461,-122.3000613&47.6174895,0.904650535
-122.3000934&47.6141472,-122.3000938&47.6153065,0.622459331
-122.3001209&47.6115811,-122.3000941&47.6129422,0.622459331
-122.2882088&47.6128877,-122.288763&47.6128912,0.002472623
-122.3073189&47.6232348,-122.3071865&47.6232237,0.99999774
-122.309985&47.6232425,-122.3099065&47.6232521,0.005220126
-122.308685&47.6232488,-122.3080435&47.6232452,0.962673113
-122.3060219&47.6232103,-122.3053632&47.6232069,0.148047198
-122.29616683258371&47.62270560005053,-122.2961804&47.6227647,0.993307149
-122.2961237&47.6225177,-122.2961422&47.6225983,0.991422515
-122.2912745&47.6184681,-122.29127106484209&47.61862428517968,0.000123
-122.29127106484209&47.61862428517968,-122.2912655&47.6188773,0.0000167
-122.2912022&47.6224896,-122.291114&47.6224908,0.5
-122.29612071695055&47.6225176791559,-122.29485&47.6225088,0.001501182
-122.2937652&47.6225033,-122.2931721&47.6224967,0.98201379
-122.2931721&47.6224967,-122.2926006&47.6224927,0.999876605
-122.29485&47.6225088,-122.2937652&47.6225033,0.000203
-122.2919909&47.6224884,-122.2912022&47.6224896,0.880797078
-122.2899235&47.6225357,-122.2898653&47.6225357,0.5
-122.2961237&47.6225177,-122.29612071695055&47.6225176791559,0.952574127
-122.286902&47.6233624,-122.2877234&47.6237998,0.047425873
-122.2894164&47.6242106,-122.2895107&47.6242357,0.001501182
-122.2911083&47.6249579,-122.2912585&47.6250058,0.010986943
-122.3049622&47.6129225,-122.3036544&47.612927,0.999964644
-122.3062746&47.6129209,-122.3060122&47.6129212,0.999983299
-122.3035672&47.6231836,-122.3024591&47.6231724,0.994779874
-122.301186&47.6226524,-122.3011836&47.622839,0.005220126
-122.3011935&47.621368,-122.3011819&47.6219897,0.851952802
-122.3011951&47.6202105,-122.301195&47.620297,0.991422515
-122.301164&47.6243892,-122.3011428&47.6251898,0.00071
-122.30741921656218&47.6167249479582,-122.3074188&47.616743,0.880797078
-122.3075347&47.6129089,-122.3074921&47.6141039,0.999993856
-122.3074525&47.6152872,-122.3074444&47.6156355,0.985936373
-122.3025453&47.6191841,-122.30254658630025&47.61916570200847,0.999954602
-122.30254658630025&47.61916570200847,-122.3025519&47.6190897,0.999941709
-122.3086871&47.6244253,-122.3093439&47.6244253,0.02297737
-122.2937124&47.6141018,-122.2937661&47.6140192,0.0000748
-122.293767&47.6116676,-122.2938195&47.6117566,4.6E-10
-122.293767&47.6116676,-122.2937284&47.6117592,2.29E-11
-122.2937124&47.6141018,-122.2936121&47.6141608,2.79E-10
-122.2935496&47.6164452,-122.2935351&47.6176136,0.0000583
-122.2935669&47.6152795,-122.2935496&47.6164452,0.000000504
-122.2935351&47.6176136,-122.2935279&47.6179932,0.268941421
-122.3025453&47.6191841,-122.3024353&47.6192596,0.999954602
-122.3046722&47.6244125,-122.3051601&47.6244134,0.000911
-122.3073063&47.62442,-122.3080008&47.6244191,0.5
-122.3059841&47.624415,-122.3066509&47.6244185,0.000335
-122.301164&47.6243892,-122.3024392&47.6244017,0.731058579
-122.3024392&47.6244017,-122.3029789&47.6244045,0.99999824
-122.299808&47.6243862,-122.3004805&47.6243877,0.00116951
-122.2966276&47.6243636,-122.2970916&47.6243669,0.000431
-122.2987398&47.624376,-122.299808&47.6243862,0.037326887
-122.2976672&47.6243711,-122.2987398&47.624376,0.000000832
